"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2018-04-27","7.61",,"0.54","0.0","52","57","46","  110","  100","16.1","19.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-04-28","7.83",,"0.00","0.0","53","70","46","  110","  280","18.1","21.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-04-29","10.29",,"0.05","0.0","55","60","43","  260","  270","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-04-30","6.71",,"0.20","0.0","45","48","40","  250","  270","16.1","23.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-01","8.05",,"0.00","0.0","51","67","44","  280","  250","16.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-02","13.65",,"0.00","0.0","71","89","58","  250","  250","25.1","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-03","9.62",,"0.09","0.0","74","90","61","  220","  220","25.1","34.0","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-05-04","12.08",,"0.00","0.0","69","82","57","  270","  280","31.1","47.0","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-05-05","14.54",,"0.00","0.0","69","75","58","  270","  260","33.1","50.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-06","7.38",,"0.19","0.0","62","67","50","  230","  240","17.0","21.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-07","8.95",,"0.00","0.0","53","61","48","   80","   50","18.1","23.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-08","8.05",,"0.00","0.0","50","60","45","  110","  110","18.1","21.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-05-09","8.95",,"0.00","0.0","55","63","46","   80","   70","18.1","21.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-05-10","9.84",,"0.00","0.0","52","71","49","  220","  220","25.1","31.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2018-05-11","9.62",,"0.00","0.0","63","70","52","  330","  320","21.0","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-12","7.61",,"0.21","0.0","51","53","49","   80","   60","16.1","19.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-13","8.72",,"0.00","0.0","50","54","48","  100","  100","16.1","19.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-14","8.72",,"0.00","0.0","56","69","49","  200","  200","17.0","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-15","10.51",,"1.00","0.0","66","85","58","  280","  290","25.1","32.0","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2018-05-16","9.40",,"0.00","0.0","56","62","50","   50","   50","23.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-17","5.14",,"0.00","0.0","58","71","51","  130","  130","12.1","14.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-18","14.32",,"0.00","0.0","58","65","47","   60","   60","25.1","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-19","8.05",,"0.20","0.0","50","55","46","   90","   90","17.0","19.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-20","11.63",,"0.08","0.0","65","81","54","  250","  230","21.9","29.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-21","8.50",,"0.00","0.0","67","80","57","  200","  210","21.0","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-22","6.71",,"0.03","0.0","62","67","54","  220","  220","17.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-23","9.62",,"0.02","0.0","63","84","54","   20","   20","21.0","25.9",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2018-05-24","11.86",,"0.00","0.0","61","68","53","  220","  220","21.0","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-25","14.99",,"0.00","0.0","70","88","54","  240","  250","29.1","36.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-26","11.63",,"0.00","0.0","78","89","61","   50","   50","23.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-27","16.11",,"0.02","0.0","57","61","50","   60","   60","23.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-28","7.83",,"0.06","0.0","52","59","50","   50","   40","14.1","18.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-29","9.40",,"0.00","0.0","67","85","58","   90","   90","18.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-05-30","8.50",,"0.00","0.0","65","69","60","   60","   60","17.0","19.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-05-31","10.07",,"0.00","0.0","66","83","56","  190","  220","21.0","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-01","8.05",,"0.01","0.0","70","79","64","  220","  230","15.0","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-02","8.50",,"0.01","0.0","73","81","57","   50","   40","18.1","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-03","13.20",,"0.00","0.0","58","60","50","   80","   90","21.0","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-04","14.54",,"0.62","0.0","52","53","49","   70","   60","21.9","27.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-06-05","7.38",,"0.34","0.0","53","61","49","   40","   30","18.1","21.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-06-06","9.40",,"0.00","0.0","56","62","53","  210","  190","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-07","11.41",,"0.00","0.0","61","72","54","  210","  220","19.9","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-08","6.71",,"0.00","0.0","65","81","55","   30","   30","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-09","7.83",,"0.00","0.0","72","80","62","  280","  250","18.1","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-10","10.07",,"0.00","0.0","68","72","60","   90","   90","18.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-11","10.51",,"0.00","0.0","62","64","56","  110","  100","17.0","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-12","17.90",,"0.00","0.0","65","80","54","  220","  230","29.1","36.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-13","15.88",,"0.00","0.0","67","77","59","  220","  220","30.0","36.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-14","14.76",,"0.00","0.0","73","79","57","  270","  250","23.0","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-15","8.05",,"0.00","0.0","59","64","54","   50","  240","14.1","16.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-06-16","7.61",,"0.00","0.0","70","85","56","  310","  330","17.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-17","7.61",,"0.00","0.0","69","81","62","   90","   80","17.0","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-18","16.33",,"0.13","0.0","75","89","66","  210","  200","25.9","36.0","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","2018-06-19","12.75",,"0.01","0.0","77","84","68","  330","  330","23.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-20","8.05",,"0.00","0.0","73","85","63","  240","  270","18.1","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-21","7.61",,"0.00","0.0","73","80","64","   80","   90","16.1","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-22","10.29",,"0.00","0.0","66","70","60","  110","  100","18.1","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-23","9.40",,"0.00","0.0","63","65","60","   60","   40","16.1","21.0","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-06-24","5.82",,"0.26","0.0","65","77","59","  100","  100","15.0","17.0","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-06-25","9.17",,"0.33","0.0","68","74","61","   40","  320","21.9","27.1","    1",,"    1",,,,"    1",
"USW00014739","BOSTON, MA US","2018-06-26","12.30",,"0.00","0.0","67","79","60","  220","  220","21.0","27.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-06-27","12.75",,"0.09","0.0","71","80","63","  190","  210","21.0","25.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-06-28","8.28",,"1.16","0.0","71","76","65","  190","  200","14.1","18.1","    1","    1","    1",,,,,
"USW00014739","BOSTON, MA US","2018-06-29","7.83",,"0.00","0.0","78","90","72","  270","  280","14.1","17.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-06-30","7.61",,"0.00","0.0","81","92","75","  190","  220","15.0","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-01","8.05",,"0.00","0.0","82","92","70","  100","  100","17.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-02","8.50",,"0.00","0.0","73","84","69","   70","   80","14.1","18.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-07-03","9.40",,"0.01","0.0","84","98","73","  150","  130","16.1","21.9","    1",,"    1",,,,"    1",
"USW00014739","BOSTON, MA US","2018-07-04","6.26",,"0.00","0.0","84","87","73","   80","  110","12.1","14.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-05","11.63",,"0.00","0.0","84","94","74","  220","  250","23.9","33.1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2018-07-06","16.55",,"0.35","0.0","81","86","65","  330","  330","25.1","33.1","    1",,"    1",,,,"    1",
"USW00014739","BOSTON, MA US","2018-07-07","9.84",,"0.00","0.0","70","75","61","  110","  110","19.9","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-08","9.17",,"0.00","0.0","71","81","61","  180","  180","18.1","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-09","11.41",,"0.00","0.0","77","91","65","  220","  270","19.9","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-10","9.62",,"0.00","0.0","81","96","68","  330","  260","18.1","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-11","10.96",,"0.19","0.0","74","75","66","   40","  220","19.9","25.1","    1",,"    1",,,,"    1",
"USW00014739","BOSTON, MA US","2018-07-12","9.40",,"0.00","0.0","70","74","65","   70","   90","16.1","19.0",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-13","11.63",,"0.00","0.0","70","78","64","  110","  110","25.1","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2018-07-14","8.72",,"0.31","0.0","69","76","63","  110","  100","18.1","21.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-07-15","6.49",,"0.01","0.0","72","79","67","   90","   90","15.0","18.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-07-16","6.71",,"0.00","0.0","70","77","67","  200","  190","12.1","16.1","    1","    1",,,,,"    1",
"USW00014739","BOSTON, MA US","2018-07-17","11.41",,"2.68","0.0","77","91","69","  310","  320","25.9","36.0","    1","    1","    1",,,,"    1",
"USW00014739","BOSTON, MA US","2018-07-18","10.29",,"0.06","0.0","76","83","69","  340","  330","18.1","25.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2018-07-19","9.62",,"0.00","0.0","72","77","65","  100","  110","18.1","19.9",,,,,,,,
